date,province_raw,n,province,date_full
15,Zhejiang,0,4,2019-11-16
16,Zhejiang,0,4,2019-11-17
17,Zhejiang,0,4,2019-11-18
18,Zhejiang,0,4,2019-11-19
19,Zhejiang,0,4,2019-11-20
20,Zhejiang,0,4,2019-11-21
21,Zhejiang,0,4,2019-11-22
22,Zhejiang,0,4,2019-11-23
23,Zhejiang,0,4,2019-11-24
24,Zhejiang,0,4,2019-11-25
25,Zhejiang,0,4,2019-11-26
26,Zhejiang,0,4,2019-11-27
27,Zhejiang,0,4,2019-11-28
28,Zhejiang,0,4,2019-11-29
29,Zhejiang,0,4,2019-11-30
30,Zhejiang,0,4,2019-12-01
31,Zhejiang,0,4,2019-12-02
32,Zhejiang,0,4,2019-12-03
33,Zhejiang,0,4,2019-12-04
34,Zhejiang,0,4,2019-12-05
35,Zhejiang,0,4,2019-12-06
36,Zhejiang,0,4,2019-12-07
37,Zhejiang,0,4,2019-12-08
38,Zhejiang,0,4,2019-12-09
39,Zhejiang,0,4,2019-12-10
40,Zhejiang,0,4,2019-12-11
41,Zhejiang,0,4,2019-12-12
42,Zhejiang,0,4,2019-12-13
43,Zhejiang,0,4,2019-12-14
44,Zhejiang,0,4,2019-12-15
45,Zhejiang,0,4,2019-12-16
46,Zhejiang,0,4,2019-12-17
47,Zhejiang,0,4,2019-12-18
48,Zhejiang,0,4,2019-12-19
49,Zhejiang,0,4,2019-12-20
50,Zhejiang,0,4,2019-12-21
51,Zhejiang,0,4,2019-12-22
52,Zhejiang,0,4,2019-12-23
53,Zhejiang,0,4,2019-12-24
54,Zhejiang,0,4,2019-12-25
55,Zhejiang,0,4,2019-12-26
56,Zhejiang,0,4,2019-12-27
57,Zhejiang,0,4,2019-12-28
58,Zhejiang,0,4,2019-12-29
59,Zhejiang,0,4,2019-12-30
60,Zhejiang,0,4,2019-12-31
61,Zhejiang,0,4,2020-01-01
62,Zhejiang,0,4,2020-01-02
63,Zhejiang,0,4,2020-01-03
64,Zhejiang,0,4,2020-01-04
65,Zhejiang,0,4,2020-01-05
66,Zhejiang,0,4,2020-01-06
67,Zhejiang,0,4,2020-01-07
68,Zhejiang,0,4,2020-01-08
69,Zhejiang,0,4,2020-01-09
70,Zhejiang,0,4,2020-01-10
71,Zhejiang,0,4,2020-01-11
72,Zhejiang,0,4,2020-01-12
73,Zhejiang,0,4,2020-01-13
74,Zhejiang,0,4,2020-01-14
75,Zhejiang,0,4,2020-01-15
76,Zhejiang,0,4,2020-01-16
77,Zhejiang,0,4,2020-01-17
78,Zhejiang,0,4,2020-01-18
79,Zhejiang,0,4,2020-01-19
80,Zhejiang,0,4,2020-01-20
81,Zhejiang,5,4,2020-01-21
82,Zhejiang,5,4,2020-01-22
83,Zhejiang,20,4,2020-01-23
84,Zhejiang,19,4,2020-01-24
85,Zhejiang,42,4,2020-01-25
86,Zhejiang,24,4,2020-01-26
87,Zhejiang,45,4,2020-01-27
88,Zhejiang,123,4,2020-01-28
89,Zhejiang,132,4,2020-01-29
90,Zhejiang,109,4,2020-01-30
91,Zhejiang,62,4,2020-01-31
92,Zhejiang,62,4,2020-02-01
93,Zhejiang,63,4,2020-02-02
94,Zhejiang,105,4,2020-02-03
95,Zhejiang,66,4,2020-02-04
96,Zhejiang,59,4,2020-02-05
97,Zhejiang,59,4,2020-02-06
98,Zhejiang,42,4,2020-02-07
99,Zhejiang,27,4,2020-02-08
100,Zhejiang,29,4,2020-02-09
101,Zhejiang,25,4,2020-02-10
102,Zhejiang,14,4,2020-02-11
103,Zhejiang,14,4,2020-02-12
104,Zhejiang,10,4,2020-02-13
105,Zhejiang,7,4,2020-02-14
106,Zhejiang,5,4,2020-02-15
107,Zhejiang,4,4,2020-02-16
108,Zhejiang,1,4,2020-02-17
109,Zhejiang,1,4,2020-02-18
110,Zhejiang,2,4,2020-02-19
111,Zhejiang,28,4,2020-02-20
112,Zhejiang,2,4,2020-02-21
113,Zhejiang,0,4,2020-02-22
114,Zhejiang,0,4,2020-02-23
115,Zhejiang,0,4,2020-02-24
116,Zhejiang,0,4,2020-02-25
117,Zhejiang,0,4,2020-02-26
118,Zhejiang,0,4,2020-02-27
119,Zhejiang,0,4,2020-02-28
120,Zhejiang,0,4,2020-02-29
121,Zhejiang,1,4,2020-03-01
122,Zhejiang,7,4,2020-03-02
123,Zhejiang,0,4,2020-03-03
0,Hunan,0,5,2019-11-01
1,Hunan,0,5,2019-11-02
2,Hunan,0,5,2019-11-03
3,Hunan,0,5,2019-11-04
4,Hunan,0,5,2019-11-05
5,Hunan,0,5,2019-11-06
6,Hunan,0,5,2019-11-07
7,Hunan,0,5,2019-11-08
8,Hunan,0,5,2019-11-09
9,Hunan,0,5,2019-11-10
10,Hunan,0,5,2019-11-11
11,Hunan,0,5,2019-11-12
12,Hunan,0,5,2019-11-13
13,Hunan,0,5,2019-11-14
14,Hunan,0,5,2019-11-15
15,Hunan,0,5,2019-11-16
16,Hunan,0,5,2019-11-17
17,Hunan,0,5,2019-11-18
18,Hunan,0,5,2019-11-19
19,Hunan,0,5,2019-11-20
20,Hunan,0,5,2019-11-21
21,Hunan,0,5,2019-11-22
22,Hunan,0,5,2019-11-23
23,Hunan,0,5,2019-11-24
24,Hunan,0,5,2019-11-25
25,Hunan,0,5,2019-11-26
26,Hunan,0,5,2019-11-27
27,Hunan,0,5,2019-11-28
28,Hunan,0,5,2019-11-29
29,Hunan,0,5,2019-11-30
30,Hunan,0,5,2019-12-01
31,Hunan,0,5,2019-12-02
32,Hunan,0,5,2019-12-03
33,Hunan,0,5,2019-12-04
34,Hunan,0,5,2019-12-05
35,Hunan,0,5,2019-12-06
36,Hunan,0,5,2019-12-07
37,Hunan,0,5,2019-12-08
38,Hunan,0,5,2019-12-09
39,Hunan,0,5,2019-12-10
40,Hunan,0,5,2019-12-11
41,Hunan,0,5,2019-12-12
42,Hunan,0,5,2019-12-13
43,Hunan,0,5,2019-12-14
44,Hunan,0,5,2019-12-15
45,Hunan,0,5,2019-12-16
46,Hunan,0,5,2019-12-17
47,Hunan,0,5,2019-12-18
48,Hunan,0,5,2019-12-19
49,Hunan,0,5,2019-12-20
50,Hunan,0,5,2019-12-21
51,Hunan,0,5,2019-12-22
52,Hunan,0,5,2019-12-23
53,Hunan,0,5,2019-12-24
54,Hunan,0,5,2019-12-25
55,Hunan,0,5,2019-12-26
56,Hunan,0,5,2019-12-27
57,Hunan,0,5,2019-12-28
58,Hunan,0,5,2019-12-29
59,Hunan,0,5,2019-12-30
60,Hunan,0,5,2019-12-31
61,Hunan,0,5,2020-01-01
62,Hunan,0,5,2020-01-02
63,Hunan,0,5,2020-01-03
64,Hunan,0,5,2020-01-04
65,Hunan,0,5,2020-01-05
66,Hunan,0,5,2020-01-06
67,Hunan,0,5,2020-01-07
68,Hunan,0,5,2020-01-08
69,Hunan,0,5,2020-01-09
70,Hunan,0,5,2020-01-10
71,Hunan,0,5,2020-01-11
72,Hunan,0,5,2020-01-12
73,Hunan,0,5,2020-01-13
74,Hunan,0,5,2020-01-14
75,Hunan,0,5,2020-01-15
76,Hunan,0,5,2020-01-16
77,Hunan,0,5,2020-01-17
78,Hunan,0,5,2020-01-18
79,Hunan,0,5,2020-01-19
80,Hunan,0,5,2020-01-20
81,Hunan,1,5,2020-01-21
82,Hunan,3,5,2020-01-22
83,Hunan,5,5,2020-01-23
84,Hunan,15,5,2020-01-24
85,Hunan,45,5,2020-01-25
86,Hunan,31,5,2020-01-26
87,Hunan,43,5,2020-01-27
88,Hunan,78,5,2020-01-28
89,Hunan,56,5,2020-01-29
90,Hunan,55,5,2020-01-30
91,Hunan,57,5,2020-01-31
92,Hunan,74,5,2020-02-01
93,Hunan,58,5,2020-02-02
94,Hunan,72,5,2020-02-03
95,Hunan,68,5,2020-02-04
96,Hunan,50,5,2020-02-05
97,Hunan,50,5,2020-02-06
98,Hunan,31,5,2020-02-07
99,Hunan,35,5,2020-02-08
100,Hunan,41,5,2020-02-09
101,Hunan,33,5,2020-02-10
102,Hunan,34,5,2020-02-11
103,Hunan,22,5,2020-02-12
104,Hunan,20,5,2020-02-13
105,Hunan,13,5,2020-02-14
106,Hunan,3,5,2020-02-15
107,Hunan,2,5,2020-02-16
108,Hunan,1,5,2020-02-17
109,Hunan,1,5,2020-02-18
110,Hunan,2,5,2020-02-19
111,Hunan,1,5,2020-02-20
112,Hunan,2,5,2020-02-21
113,Hunan,3,5,2020-02-22
114,Hunan,0,5,2020-02-23
115,Hunan,0,5,2020-02-24
116,Hunan,0,5,2020-02-25
117,Hunan,1,5,2020-02-26
118,Hunan,0,5,2020-02-27
119,Hunan,1,5,2020-02-28
120,Hunan,0,5,2020-02-29
121,Hunan,0,5,2020-03-01
122,Hunan,0,5,2020-03-02
123,Hunan,0,5,2020-03-03
0,Anhui,0,6,2019-11-01
1,Anhui,0,6,2019-11-02
2,Anhui,0,6,2019-11-03
3,Anhui,0,6,2019-11-04
4,Anhui,0,6,2019-11-05
5,Anhui,0,6,2019-11-06
6,Anhui,0,6,2019-11-07
7,Anhui,0,6,2019-11-08
8,Anhui,0,6,2019-11-09
9,Anhui,0,6,2019-11-10
10,Anhui,0,6,2019-11-11
11,Anhui,0,6,2019-11-12
12,Anhui,0,6,2019-11-13
13,Anhui,0,6,2019-11-14
14,Anhui,0,6,2019-11-15
15,Anhui,0,6,2019-11-16
16,Anhui,0,6,2019-11-17
17,Anhui,0,6,2019-11-18
18,Anhui,0,6,2019-11-19
19,Anhui,0,6,2019-11-20
20,Anhui,0,6,2019-11-21
21,Anhui,0,6,2019-11-22
22,Anhui,0,6,2019-11-23
23,Anhui,0,6,2019-11-24
24,Anhui,0,6,2019-11-25
25,Anhui,0,6,2019-11-26
26,Anhui,0,6,2019-11-27
27,Anhui,0,6,2019-11-28
28,Anhui,0,6,2019-11-29
29,Anhui,0,6,2019-11-30
30,Anhui,0,6,2019-12-01
31,Anhui,0,6,2019-12-02
32,Anhui,0,6,2019-12-03
33,Anhui,0,6,2019-12-04
34,Anhui,0,6,2019-12-05
35,Anhui,0,6,2019-12-06
36,Anhui,0,6,2019-12-07
37,Anhui,0,6,2019-12-08
38,Anhui,0,6,2019-12-09
39,Anhui,0,6,2019-12-10
40,Anhui,0,6,2019-12-11
41,Anhui,0,6,2019-12-12
42,Anhui,0,6,2019-12-13
43,Anhui,0,6,2019-12-14
44,Anhui,0,6,2019-12-15
45,Anhui,0,6,2019-12-16
46,Anhui,0,6,2019-12-17
47,Anhui,0,6,2019-12-18
48,Anhui,0,6,2019-12-19
49,Anhui,0,6,2019-12-20
50,Anhui,0,6,2019-12-21
51,Anhui,0,6,2019-12-22
52,Anhui,0,6,2019-12-23
53,Anhui,0,6,2019-12-24
54,Anhui,0,6,2019-12-25
55,Anhui,0,6,2019-12-26
56,Anhui,0,6,2019-12-27
57,Anhui,0,6,2019-12-28
58,Anhui,0,6,2019-12-29
59,Anhui,0,6,2019-12-30
60,Anhui,0,6,2019-12-31
61,Anhui,0,6,2020-01-01
62,Anhui,0,6,2020-01-02
63,Anhui,0,6,2020-01-03
64,Anhui,0,6,2020-01-04
65,Anhui,0,6,2020-01-05
66,Anhui,0,6,2020-01-06
67,Anhui,0,6,2020-01-07
68,Anhui,0,6,2020-01-08
69,Anhui,0,6,2020-01-09
70,Anhui,0,6,2020-01-10
71,Anhui,0,6,2020-01-11
72,Anhui,0,6,2020-01-12
73,Anhui,0,6,2020-01-13
74,Anhui,0,6,2020-01-14
75,Anhui,0,6,2020-01-15
76,Anhui,0,6,2020-01-16
77,Anhui,0,6,2020-01-17
78,Anhui,0,6,2020-01-18
79,Anhui,0,6,2020-01-19
80,Anhui,0,6,2020-01-20
81,Anhui,0,6,2020-01-21
82,Anhui,1,6,2020-01-22
83,Anhui,14,6,2020-01-23
84,Anhui,24,6,2020-01-24
85,Anhui,21,6,2020-01-25
86,Anhui,10,6,2020-01-26
87,Anhui,36,6,2020-01-27
88,Anhui,46,6,2020-01-28
89,Anhui,48,6,2020-01-29
90,Anhui,37,6,2020-01-30
91,Anhui,60,6,2020-01-31
92,Anhui,43,6,2020-02-01
93,Anhui,68,6,2020-02-02
94,Anhui,72,6,2020-02-03
95,Anhui,50,6,2020-02-04
96,Anhui,61,6,2020-02-05
97,Anhui,61,6,2020-02-06
98,Anhui,68,6,2020-02-07
99,Anhui,46,6,2020-02-08
100,Anhui,51,6,2020-02-09
101,Anhui,30,6,2020-02-10
102,Anhui,29,6,2020-02-11
103,Anhui,22,6,2020-02-12
104,Anhui,24,6,2020-02-13
105,Anhui,16,6,2020-02-14
106,Anhui,12,6,2020-02-15
107,Anhui,11,6,2020-02-16
108,Anhui,9,6,2020-02-17
109,Anhui,4,6,2020-02-18
110,Anhui,1,6,2020-02-19
111,Anhui,1,6,2020-02-20
112,Anhui,1,6,2020-02-21
113,Anhui,0,6,2020-02-22
114,Anhui,0,6,2020-02-23
115,Anhui,0,6,2020-02-24
116,Anhui,0,6,2020-02-25
117,Anhui,0,6,2020-02-26
118,Anhui,1,6,2020-02-27
119,Anhui,0,6,2020-02-28
120,Anhui,0,6,2020-02-29
121,Anhui,0,6,2020-03-01
122,Anhui,0,6,2020-03-02
123,Anhui,0,6,2020-03-03
0,Jiangxi,0,7,2019-11-01
1,Jiangxi,0,7,2019-11-02
2,Jiangxi,0,7,2019-11-03
3,Jiangxi,0,7,2019-11-04
4,Jiangxi,0,7,2019-11-05
5,Jiangxi,0,7,2019-11-06
6,Jiangxi,0,7,2019-11-07
7,Jiangxi,0,7,2019-11-08
8,Jiangxi,0,7,2019-11-09
9,Jiangxi,0,7,2019-11-10
10,Jiangxi,0,7,2019-11-11
11,Jiangxi,0,7,2019-11-12
12,Jiangxi,0,7,2019-11-13
13,Jiangxi,0,7,2019-11-14
14,Jiangxi,0,7,2019-11-15
